id,mz,rt,area,height,detected_rate,has_ms2,detected:fraction:POC,mean_area:fraction:POC,detected:fraction:WSOC,mean_area:fraction:WSOC,log2FC:fraction:POC_vs_WSOC,welch_p:fraction:POC_vs_WSOC,welch_q:fraction:POC_vs_WSOC,detected:day_type:weekday,mean_area:day_type:weekday,detected:day_type:weekend,mean_area:day_type:weekend,log2FC:day_type:weekday_vs_weekend,welch_p:day_type:weekday_vs_weekend,welch_q:day_type:weekday_vs_weekend
7,143.14311,0.5835,35580.0,257300.0,0.027777777777777776,False,False,4787.333333333333,True,6106.388888888889,-0.35109720954113144,0.15002107216490418,0.18247711208781195,False,5443.541666666667,True,5453.5,-0.00263683347359839,0.9937121657696146,0.9968933841604525
8,122.06818,0.586,58460.0,533700.0,0.0,False,False,4087.5,False,11793.522222222222,-1.5287040184420515,0.055305372707405175,0.07640983619906959,False,8298.975,False,7223.583333333333,0.20021848281528595,0.7321069654448243,0.8433815918351122
9,297.08243,0.5835,86350.0,580700.0,0.027777777777777776,False,False,7243.833333333333,True,9269.611111111111,-0.35575546156317706,0.22959228773104923,0.26602947964399476,True,8451.458333333334,False,7867.25,0.10334087645008998,0.6736008806926749,0.8030876338895047
21,148.03934,0.5972,64820.0,364300.0,0.027777777777777776,False,True,11312.722222222223,False,12276.722222222223,-0.11797929297284283,0.49473970777180787,0.526766849083216,True,12232.5,False,10919.166666666666,0.16385652648965177,0.3406984599004905,0.5419499412897463
27,117.09104,0.614,57820.0,363800.0,0.0,False,False,11053.277777777777,False,13121.833333333334,-0.24749504706509337,0.16930123743235048,0.20227140918475264,False,12005.625,False,12251.416666666666,-0.029238071180373717,0.8738225206559036,0.9295769411295379
28,159.138,0.6063,66010.0,391600.0,0.027777777777777776,False,True,10796.166666666666,False,9825.5,0.13591642359604056,0.47307921131357666,0.5056386636020138,False,9418.041666666666,True,12096.416666666666,-0.36108072938685376,0.05752289585269679,0.3232561307989352
34,223.06372,0.6231,91160.0,524000.0,0.027777777777777776,False,False,9474.055555555555,True,14545.388888888889,-0.6185078322090533,0.024099619058013257,0.03711085784854802,True,12615.25,False,10798.666666666666,0.22431560600128742,0.3648177045067923,0.5620713190926229
36,372.10011,0.6355,35210.0,240500.0,0.027777777777777776,False,False,7297.722222222223,True,12537.888888888889,-0.7807763068663914,0.059778741761388796,0.08182129389593308,True,11594.958333333334,False,6563.5,0.8209603903705902,0.041515355482311424,0.3132041790967732
44,141.01014,0.6405,19580.0,56480.0,0.0,False,False,0.0,False,11.75,-inf,0.331332762038679,0.3634405425899585,False,8.8125,False,0.0,inf,0.32771580614285856,0.5407369910607658
46,373.09799,0.6469,27120.0,216900.0,0.05555555555555555,False,True,5621.944444444444,True,8799.555555555555,-0.6463614613195157,0.14450252028268398,0.176540064791854,True,8683.583333333334,False,4265.083333333333,1.025716572480733,0.017736808293631633,0.3075247329863302
49,297.08244,0.6655,105400.0,602400.0,0.1111111111111111,False,True,10937.444444444445,True,9321.333333333334,0.2306674495811457,0.3596882521264969,0.3925909904970051,True,10583.416666666666,False,9221.333333333334,0.1987581775507192,0.3708867893120741,0.566801833563678
56,118.94269,0.7343,406100.0,10930000.0,0.0,False,False,11098.722222222223,False,34129.5,-1.6206256879798204,0.30853427405863104,0.34805097911047544,False,12067.0,False,43708.333333333336,-1.8568413174777083,0.35791884647856176,0.5562614924922588
59,143.14312,0.7188,44200.0,261200.0,0.05555555555555555,False,True,5049.166666666667,True,6978.055555555556,-0.46677978381519003,0.12165925142415737,0.15122321147796097,True,5952.958333333333,False,6134.916666666667,-0.04343695072985779,0.8813673547348979,0.9331663963886515
61,151.10218,0.7477,13140.0,213900.0,0.0,False,False,0.0,False,0.0,,,,False,0.0,False,0.0,,,
62,112.95587,0.7431,5491.0,126200.0,0.027777777777777776,False,False,1229.3666666666668,True,1188.5388888888892,0.0487261642361734,0.9009108086989883,0.9109319784314811,False,962.5041666666667,True,1701.8500000000001,-0.8222391931571056,0.10272522073720287,0.3437742129159317
65,372.10013,0.7206,71250.0,234300.0,0.08333333333333333,False,True,6824.722222222223,True,15255.611111111111,-1.1604977405228754,0.04826620830540497,0.06788451599184116,True,13564.625,False,5991.25,1.1789202242778314,0.02487488535271528,0.3075247329863302
68,279.91052,0.7995,67540.0,352400.0,0.05555555555555555,False,False,83.0,True,1370.222222222222,-4.045154741317938,0.0001515232893047393,0.0004237527780744095,True,962.1041666666666,False,255.625,1.912164164462461,0.011017009019367729,0.2926348073419657
69,131.10674,0.7403,26140.0,166300.0,0.027777777777777776,False,False,4746.0,True,6143.299999999999,-0.37230173661081223,0.231400510292682,0.26789331876232914,True,5699.308333333333,False,4935.333333333333,0.20763931691866283,0.48101577947164276,0.6603569174485038
70,163.01808,0.7663,12270.0,154300.0,0.0,False,False,0.0,False,0.0,,,,False,0.0,False,0.0,,,
73,129.95869,0.726,75500.0,556100.0,0.05555555555555555,False,True,7003.611111111111,True,10622.111111111111,-0.6008996430230933,0.36828198340154616,0.4012353026848684,True,6772.541666666667,True,12893.5,-0.9288746736305534,0.3096985508610214,0.5329675350889865
74,179.01304,0.7524,26230.0,230300.0,0.0,False,False,0.0,False,0.0,,,,False,0.0,False,0.0,,,
75,251.91436,0.7543,41070.0,308100.0,0.0,False,False,0.0,False,0.0,,,,False,0.0,False,0.0,,,
77,173.99789,0.8062,130600.0,662500.0,0.0,False,False,838.1388888888889,False,16.88888888888889,5.6330430120419885,3.864904805604702e-05,0.00012946072130841293,False,459.42083333333335,False,363.7,0.33706735422487033,0.6491204475392209,0.7864204180788527
78,126.97206,0.7889,87340.0,682400.0,0.027777777777777776,False,False,3751.3333333333335,True,10108.611111111111,-1.4301094216636896,0.1825057009593309,0.21624655592275746,False,4985.375,True,10819.166666666666,-1.1178154482237421,0.42129740667670745,0.6119305680268367
79,140.95134,0.7927,136000.0,1112000.0,0.027777777777777776,False,False,8428.444444444445,True,19541.166666666668,-1.2131783063940276,0.12740747633204166,0.15743158951561192,False,10212.291666666666,True,21529.833333333332,-1.076030504035451,0.30259074084237636,0.5278714535527421
80,146.93757,0.7942,139000.0,1151000.0,0.027777777777777776,False,False,780.4833333333333,True,8864.305555555555,-3.5055678825033794,0.3058776950053306,0.3454140912397797,False,966.5041666666666,True,12534.175000000001,-3.6969472788061397,0.3360825502818915,0.5407369910607658
81,306.89196,0.7546,46470.0,503200.0,0.027777777777777776,False,False,429.38333333333327,True,3001.227777777778,-2.8052147175616997,0.32887749673422007,0.3634405425899585,False,397.31666666666666,True,4351.283333333334,-3.453079742787092,0.3240686209767225,0.5407369910607658
83,223.9195,0.7385,9726.0,101600.0,0.0,False,False,0.0,False,0.0,,,,False,0.0,False,0.0,,,
84,245.9826,0.7546,19900.0,254000.0,0.0,False,False,0.0,False,0.0,,,,False,0.0,False,0.0,,,
87,228.97552,0.7572,33250.0,598300.0,0.19444444444444445,False,True,7770.166666666667,True,10212.833333333334,-0.3943657175386009,0.254969345230964,0.2928409493644212,True,8756.958333333334,True,9460.583333333334,-0.11149929487245999,0.8004789750961236,0.8867073149250828
88,106.00796,0.7756,52080.0,322400.0,0.0,False,False,0.0,False,0.0,,,,False,0.0,False,0.0,,,
89,178.97666,0.8092,118800.0,560700.0,0.0,False,False,2079.0222222222224,False,82.72777777777777,4.65138953951446,3.4462096219424192e-06,1.5826249200960405e-05,False,1073.1125000000002,False,1096.3999999999999,-0.030972903981279012,0.9619071461607163,0.9807071994171798
90,150.98189,0.8161,62840.0,290600.0,0.0,False,False,357.94444444444446,False,0.0,inf,0.0058501757055560676,0.01056954821753325,False,240.14583333333334,False,56.625,2.0843997269422254,0.09203190737686451,0.3356557283441662
91,159.13801,0.755,62400.0,381100.0,0.08333333333333333,False,True,11196.888888888889,True,9124.277777777777,0.2953156544257941,0.27762517018427674,0.3162690640537996,True,11490.166666666666,False,7501.416666666667,0.61516474060256,0.01925515778305222,0.3075247329863302
92,201.99273,0.7992,517700.0,2880000.0,0.027777777777777776,True,True,13801.888888888889,False,1035.161111111111,3.7369384943585118,1.207104360279166e-08,1.1978498935170258e-07,False,7428.524999999998,True,7398.525000000001,0.005838101347028137,0.9906838096027482,0.9956157644399152
93,158.06668,0.7849,14770.0,216300.0,0.0,False,False,0.0,False,0.0,,,,False,0.0,False,0.0,,,
