id,sirius_id,annotation_type,compound_name,smiles,molecular_formula,precursor_mz,rt,score,cluster_label,cluster_membership_probability,cluster_outlier_score,query_min_distance,query_closest_compound
18368,857316095247807015,structure_db_match,2-Phenylbenzothiazole,C1=CC=C(C=C1)C2=NC3=CC=CC=C3S2,C13H9NS,212.053,14.306,0.852,6,0.39451716535289183,0.6054828346471082,24.77834212128717,Fluoranthene
11015,857316086980833155,denovo,"1H,3H-naphtho[2,3-c]furan-1,3-dione",C1=CC=C2C=C3C(=CC2=C1)C(=O)OC3=O,C12H6O3,199.039,8.511,-0.162,6,0.5515727364192332,0.4484272635807668,29.681338270379623,"9,10-anthraquinone"
1789,857316067070470955,denovo,5-Methylbenzimidazole,CC1=CC2=C(C=C1)N=CN2,C8H8N2,133.076,0.98,-0.434,6,0.4035494651403118,0.5964505348596882,34.86593260937604,acenaphthenequinone
14572,857316092110467359,spectral_match,Indigo J,C1=CC=C2C(=C1)C(=O)C(=C3C(=O)C4=CC=CC=C4N3)N2,,263.082,11.473,0.8037814,6,1.0,0.0,36.87113615434238,"5,12-naphthacenequinone"
12699,857316089233174583,denovo,9-Fluorenone-2-carboxylic acid,C1=CC=C2C(=C1)C3=C(C2=O)C=C(C=C3)C(=O)O,C14H8O3,225.055,10.074,-1.717,6,1.0,0.0,42.07425068411015,Phenanthrene
15868,857316092878025059,denovo,"N-Phenyl-1,3-benzothiazol-2-amine",C1=CC=C(C=C1)NC2=NC3=CC=CC=C3S2,C13H10N2S,227.064,12.464,-0.325,6,0.3834674508162693,0.6165325491837307,44.95797413920162,"9,10-anthraquinone"
17832,857316094442500587,spectral_match,Benzoanthrone,C1=CC=C2C(=C1)C3=CC=CC4=C3C(=CC=C4)C2=O,,231.081,13.88,0.8900443,6,0.9779454085430259,0.022054591456974065,48.428576715839576,"9,10-anthraquinone"
11016,857316087022776199,spectral_match,benzothiazolyl-cyclohexyl-amine,C1CCC(CC1)NC2=NC3=CC=CC=C3S2,,233.111,8.513,0.97385085,6,0.4035494651403118,0.5964505348596882,49.732344960119995,Benzo[k]fluoranthene
