spectralMatchRank	spectrumType	analogHit	querySpectrumIndex	querySpectrumScanNumber	querySpectrumMsLevel	querySpectrumCE	similarity	sharedPeaks	referenceMsLevel	referenceCE	referenceAdduct	referencePrecursorMz	referenceInstrument	referenceSmiles	referenceSplash	referenceName	referenceLinks	InChIkey2D	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	SPECTRUM	true	-1		2		0.79359555	6	2	-1 eV (corrected -1 eV)	[M + H]+	167.143	Orbitrap (LCMS)	CC1(C2CC=C(C1C2)CCO)C	splash10-001i-9400000000-e9b9dac3179fdbff13d4	(-)-Nopol	public_spectra_2506:(CCMSLIB00006697485)	ROKSAUSPJGWCSM	167.013	50	0.834	857336426452503116	857336426448308811	428	
1	SPECTRUM	true	0		2	-1 eV	0.8077289	6	2	-1 eV (corrected -1 eV)	[M + H]+	167.034	Orbitrap (LCMS)	C1OC2=C(O1)C=C(C=C2)C(=O)O	splash10-001i-9400000000-5f627155218c5066b82e	Spectrum_001164	public_spectra_2506:(CCMSLIB00010125979)	VDVJGIYXDVPQLP	232.928	50	0.836	857336426733521492	857336426729327187	425	
1	SPECTRUM	true	1		2	-1 eV	0.7088743	6	2	-1 eV (corrected -1 eV)	[M - H2O + H]+	337.191	Orbitrap (LCMS)	CCC12CCCN3C1C4=C(CC3)C5=CC=CC=C5N4C(C2)(C(=O)OC)O	splash10-000i-0029000000-cbd4cba80c008b1ecd46	Angiopac	public_spectra_2506:(CCMSLIB00010104057)	RXPRRQLKFXBCSJ	113.107	52	0.864	857336426855156312	857336426850962007	583	
1	SPECTRUM	true	1		2	-1 eV	0.5190687	7	2	28 eV	[M + H]+	188.110	Orbitrap (LCMS)	CCSC(=O)N1CCCCCC1	splash10-0a4i-9000000000-2e6843cbd165f92af824	Sakkimol	public_spectra_2506:(MSBNK-Eawag-EQ371405)	DEDOPGXGGQYYMW	183.024	53	0.880	857336426964208220	857336426960013915	621	
1	SPECTRUM	true	1		2	-1 eV	0.4795069	11	2	-1 eV (corrected -1 eV)	[M + H]+	183.021	Orbitrap (LCMS)	C1=CC(=CC=C1C=CC(=O)O)Cl	splash10-0309-2900000000-bc5115a34823cab03874	ACMC-20aixa	public_spectra_2506:(CCMSLIB00010124380)	GXLIFJYFGMHYDY	186.966	54	0.900	857336427480107624	857336427475913319	697	
1	SPECTRUM	true	-1		2		0.36312988	6	2	-1 eV (corrected -1 eV)	[M + H]+	171.029	Orbitrap (LCMS)	C1=C(C=C(C(=C1O)O)O)C(=O)O	splash10-0a59-9300000000-52c837653f48e1b095d2	gallate	public_spectra_2506:(CCMSLIB00011428735)	LNTHITQWFMADLM	174.985	54	0.905	857336427584965228	857336427584965227	733	
1	SPECTRUM	true	3		2	-1 eV	0.51358867	7	2	-1 eV (corrected -1 eV)	[M - H2O + H]+	153.018	Orbitrap (LCMS)	C1=C(C=C(C(=C1O)O)O)C(=O)O	splash10-0udi-3900000000-d4f009e7872b34f47576	gallate	public_spectra_2506:(CCMSLIB00006708001)	LNTHITQWFMADLM	184.969	55	0.909	857336427694017136	857336427689822831	699	
1	SPECTRUM	true	-1		2		0.7984703	11	2	-1 eV (corrected -1 eV)	[M + H]+	178.109	Orbitrap (LCMS)	C1=CC=C(C=C1)N=C(N)N=C(N)N	splash10-03di-9100000000-c028b216a6e6b88eb6bf	Lopac-P-120	public_spectra_2506:(BRUNGS_MCEBIO_03896)	CUQCMXFWIMOWRP	212.118	56	0.937	857336428344134280	857336428339939975	843	
1	SPECTRUM	true	0		2	-1 eV	0.90880764	39	2	-1 eV (corrected -1 eV)	[M + H]+	163.123	Orbitrap (LCMS)	CNCCC=CC1=CN=CC=C1	splash10-001i-3900000000-0f0b4d318baf5ce973e3	Rivanicline	public_spectra_2506:(BRUNGS_MCEBIO_01188)	JUOSGGQXEBBCJB	179.118	56	0.939	857336428444797580	857336428440603275	867	
1	SPECTRUM	true	0		2	-1 eV	0.90861213	34	2	36 eV	[M + H]+	149.107	Orbitrap (LCMS)	C1CC(NC1)C2=CN=CC=C2	splash10-00lr-9800000000-a45b0ff544bcd0281db0	Nornicotin	public_spectra_2506:(MSBNK-Eawag-EQ328007)	MYKUKUCHPMASKF	163.123	57	0.942	857336428541266576	857336428537072271	862	
1	SPECTRUM	true	0		2	-1 eV	0.60370207	7	2	15 eV	[M + H]+	163.039	Orbitrap (LCMS)	CC1=CC2=C(C=C1)C(=O)OC2=O	splash10-03di-0900000000-8a410938a6509d2b8183	Ambap19438-61-0	public_spectra_2506:(MSBNK-LCSB-LU019401)	ZOXBWJMCXHTKNU	114.066	57	0.945	857336428637735572	857336428633541267	864	
