cluster_label,cluster_persistence
0,0.9634966119860491
1,0.4752875172938741
2,0.5376068390062841
3,0.1693658046678946
4,0.5286338617215476
5,0.297108499263204
6,0.46531282588337963
7,0.022022785521404763
8,0.4647766983896214
