id,sirius_id,annotation_type,compound_name,smiles,molecular_formula,precursor_mz,rt,score
24591,857336477639792140,spectral_match,Benzon OO,CCCCCCCCOC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2)O,,327.195,20.424,0.8459433
24899,857336477966947876,denovo,Tetrabutylthiuram disulfide,CCCCN(CCCC)C(=S)SSC(=S)N(CCCC)CCCC,C18H36N2S4,409.183,20.854,-0.694
24930,857336478067611180,spectral_match,phthalate,C1=CC=C(C(=C1)C(=O)O)C(=O)O,,149.023,20.89,0.9252429
25414,857336478419932744,spectral_match,Fleximel,CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC,,391.284,21.484,0.89492315
25517,857336478617065048,spectral_match,phthalate,C1=CC=C(C(=C1)C(=O)O)C(=O)O,,149.023,21.598,0.93170065
25611,857336479032301168,spectral_match,Mollan S,CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,,371.316,21.65,0.95875084
25626,857336479078438516,spectral_match,Fleximel,CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC,,391.284,21.663,0.9842095
25825,857336479166518908,spectral_match,Mollan S,CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,,371.316,21.826,0.9640166
25826,857336479208461952,structure_db_match,Mollan S,CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,C22H42O4,388.342,21.828,0.879
26099,857336479669835428,spectral_match,Palatinol N-d4,CC(C)CCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCC(C)C,,419.315,22.214,0.95747775
26114,857336479766304428,spectral_match,phthalate,C1=CC=C(C(=C1)C(=O)O)C(=O)O,,149.023,22.252,0.88919765
26117,857336479711778472,spectral_match,Fleximel,CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC,,391.284,22.239,0.9900106
26479,857336480269620948,spectral_match,Palatinol N-d4,CC(C)CCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCC(C)C,,419.316,22.755,0.9885421
26568,857336480500307684,spectral_match,Palatinol N-d4,CC(C)CCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCC(C)C,,419.316,22.874,0.9966068
26594,857336480554833640,denovo,Isononyl isooctyl phthalate,CC(C)CCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCC(C)C,C25H40O4,405.3,22.904,-2.935
27132,857336480953292552,spectral_match,Campathecin,CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O,,371.101,23.562,0.84745747
27259,857336481200756508,denovo,Oxidooxyethene,C=COO,C2H4O2,98.984,23.698,-1.931
27268,857336481288836900,spectral_match,Flexol TOF,CCCCC(CC)COP(=O)(OCC(CC)CCCC)OCC(CC)CCCC,,435.36,23.7,0.98777777
27438,857336481330779944,spectral_match,Sicol 184,CC(C)CCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCC(C)C,,447.347,23.954,0.9846619
27672,857336481511135032,spectral_match,Hexamoll DINCH,CC(C)CCCCCCOC(=O)C1CCCCC1C(=O)OCCCCCCC(C)C,,425.362,24.384,0.97736186
27736,857336481599215424,spectral_match,Sicol 184,CC(C)CCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCC(C)C,,447.347,24.527,0.9240448
27757,857336481649547076,spectral_match,Hexamoll DINCH,CC(C)CCCCCCOC(=O)C1CCCCC1C(=O)OCCCCCCC(C)C,,425.362,24.552,0.9890783
