id,sirius_id,annotation_type,compound_name,smiles,molecular_formula,precursor_mz,rt,score
7066,857336445901491548,denovo,1-(6-Pentoxypyridin-3-yl)ethanone,CCCCCOC1=NC=C(C=C1)C(=O)C,C12H17NO2,208.133,7.337,-1.757
7126,857336446123789672,denovo,Tridecylhexaethoxylate,CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCO,C25H52O7,503.33,7.381,-0.386
7229,857336446534831488,spectral_match,benzothiazolol,C1=CC=C2C(=C1)NC(=O)S2,,152.017,7.45,0.95281935
7455,857336447113645472,denovo,"3,6,9,12-Tetraoxahexadecan-1-OL",CCCCOCCOCCOCCOCCO,C12H26O5,268.212,7.601,-0.162
7460,857336447319166380,structure_db_match,"3,6,9,12-Tetraoxahexadecan-1-OL",CCCCOCCOCCOCCOCCO,C12H26O5,251.185,7.606,0.89
7477,857336447424023988,structure_db_match,Eudraflex,CCOC(=O)CC(CC(=O)OCC)(C(=O)OCC)O,C12H20O7,277.128,7.669,0.924
7700,857336447616961984,denovo,Oxidooxyethene,C=COO,C2H4O2,98.984,7.784,-0.816
7927,857336447939923412,structure_db_match,Eudraflex,CCOC(=O)CC(CC(=O)OCC)(C(=O)OCC)O,C12H20O7,277.128,7.855,0.924
8208,857336448313216500,structure_db_match,"3-(4-{2-[4-(2,3-dihydroxypropoxy)phenyl]propan-2-yl}phenoxy)propane-1,2-diol",CC(C)(C1=CC=C(C=C1)OCC(CO)O)C2=CC=C(C=C2)OCC(CO)O,C21H28O6,377.196,8.125,0.976
8327,857336448493571584,spectral_match,Eudraflex,CCOC(=O)CC(CC(=O)OCC)(C(=O)OCC)O,,277.128,8.186,0.81277573
8971,857336449479233092,structure_db_match,"N,N-Bis(2-hydroxyethyl)octanamide",CCCCCCCC(=O)N(CCO)CCO,C12H25NO3,232.191,8.674,0.975
9186,857336449827360348,structure_db_match,"3-(4-{2-[4-(2,3-dihydroxypropoxy)phenyl]propan-2-yl}phenoxy)propane-1,2-diol",CC(C)(C1=CC=C(C=C1)OCC(CO)O)C2=CC=C(C=C2)OCC(CO)O,C21H28O6,377.196,8.827,0.98
9190,857336450062241388,structure_db_match,"3-(4-{2-[4-(2,3-dihydroxypropoxy)phenyl]propan-2-yl}phenoxy)propane-1,2-diol",CC(C)(C1=CC=C(C=C1)OCC(CO)O)C2=CC=C(C=C2)OCC(CO)O,C21H28O6,394.223,8.83,0.98
9231,857336450917879452,denovo,1-Butyl-3-(2-methylpropyl)urea,CCCCNC(=O)NCC(C)C,C9H20N2O,173.165,8.925,-0.506
9253,857336450703969936,spectral_match,Eudraflex,CCOC(=O)CC(CC(=O)OCC)(C(=O)OCC)O,,277.128,8.895,0.8274949
