formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C3H6N3O2S	[M + K]+	C3H6KN3O2S+		0.968	72.599	68.412	4.187	15	0.263	-2.321	2.321	-1.019		186.981	48	0.799	857316944062189335	857316060527356459	857316060523162154	242	
1	C3H3F2NO	[M + Na]+	C3H3F2NNaO+		1.000	34.970	32.695	2.275	3	0.974	16.899	16.899	4.147		130.008	48	0.801	857316986219139177	857316060678351407	857316060665768494	196	
1	C3HNO3S	[M + H]+	C3H2NO3S+		0.260	0.391	0.391	0.000	0	0.000			-5.155		131.974	48	0.803	857316992133107872	857316060896455219	857316060883872306	259	
1	ClN3O	[M + Na]+	ClN3NaO+		0.596	-0.609	-0.609	0.000	0	0.000			16.557		115.964	48	0.803	857316934553702055	857316061097781815	857316061093587510	220	
1	C2H3NO4S	[M + Na]+	C2H3NNaO4S+		0.928	25.119	25.119	0.000	4	0.076	14.656	14.656	10.507		159.969	48	0.803	857316952534683496	857316061231999547	857316061223610938	277	
1	C4HNOP2	[M + H]+	C4H2NOP2+		0.424	3.766	3.490	0.276	3	0.072	-21.807	21.807	-13.549		141.959	48	0.804	857316976727429154	857316061374605887	857316061374605886	280	
1	C6HO2	[M + K]+	C6HKO2+		0.792	3.370	3.370	0.000	2	0.009	-17.817	17.817	-12.034		143.959	48	0.804	857316939733667561	857316061513017923	857316061513017922	290	
1	C6H3O3	[M + K]+	C6H3KO3+		0.906	38.875	37.860	1.015	7	0.258	-15.340	15.340	-11.095		161.970	48	0.804	857316945123348257	857316061617875527	857316061613681222	281	
1	CHNOS	[M + Na]+	CHNNaOS+		0.989	-0.609	-0.609	0.000	0	0.000			17.400		97.969	48	0.805	857316961497911217	857316061722733131	857316061718538826	279	
1	C4H6N3OS	[M + K]+	C4H6KN3OS+		1.000	50.923	50.157	0.765	11	0.197	-7.213	7.844	-5.825		182.985	48	0.805	857316977134276667	857316061823396431	857316061819202126	321	
1	C3H3FeNO2	[M + H]+	C3H4FeNO2+		0.333	42.498	40.145	2.352	5	0.522	0.937	0.937	0.605		139.963	48	0.805	857316969991376854	857316061919865427	857316061915671122	288	
1	C5H2O	[M + K]+	C5H2KO+		0.834	3.500	3.500	0.000	0	0.000			-15.156		116.972	48	0.807	857316942837452542	857316062024723031	857316062020528726	283	
1	C4HNOPS	[M + H]+	C4H2NOPS+		0.986	4.317	4.317	0.000	3	0.019	1.830	2.553	1.590		142.959	48	0.807	857316932473327233	857316062112803419	857316062112803418	292	
1	C3H5FeNO3	[M + H]+	C3H6FeNO3+		0.333	65.324	63.556	1.768	8	0.575	0.668	0.668	0.570		157.974	48	0.807	857316969274150848	857316062209272415	857316062209272414	287	
