structurePerIdRank	formulaRank	CSI:FingerIDScore	ModelScore	ZodiacScore	SiriusScoreNormalized	SiriusScore	molecularFormula	adduct	precursorFormula	InChIkey2D	InChI	name	smiles	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	1	-34.142	-5.043		0.424	3.766	C4HNOP2	[M + H]+	C4H2NOP2+	UIUMMZLDFHQVDE	InChI=1S/C4HNOP2/c5-3-1-2-4-7-8-6/h7H		N#CC#CC#[PH]P=O	141.959	48	0.804	857316976727429154	857316061374605887	857316061374605886	280	
1	4	-50.645	-6.896		0.024	16.920	H5N4O4S	[M + H]+	H6N4O4S+	XRQKZZHKJDZWKI	InChI=1S/H5N4O4S/c1-4(5)3-9(6)8-7-2/h3H,1-2H2		NOOS(=O)N[N+](N)[O-]	158.012	49	0.822	857316996432269500	857316063186545287	857316063182350982	307	
1	1	-88.011	-7.499		1.000	17.660	CH4NO5	[M + Na]+	CH4NNaO5+	GOOLSSYXVDUBTO	InChI=1S/CH4NO5/c3-1-2(4)6-7-5/h3,5H,1H2		[O-][N+](CO)OOO	132.998	49	0.823	857316984033906767	857316063408843407	857316063408843406	405	
1	5	-61.131	-7.163		0.007	29.539	C6H8Cl3N3O4	[M - H4O2 + H]+	C6H5Cl3N3O2+	ZQVSARKITCILJU	InChI=1S/C6H8Cl3N3O4/c7-1-2(11-6(15)16)10-5(14)12-4(13)3(8)9/h1,3-4,11,13H,(H,15,16)(H2,10,12,14)		O=C(O)NC(=CCl)NC(=O)NC(O)C(Cl)Cl	255.944	50	0.827	857317001230553304	857316063517895315	857316063513701010	427	
1	2	-53.096	-6.751		0.030	19.356	C7H10O3	[M + K]+	C7H10KO3+	JOOLTLDEBHTSMK	InChI=1S/C7H10O3/c8-5-1-3-7(10)4-2-6-9/h1-5,8-10H,6H2		OC=CC=C(O)C=CCO	181.026	52	0.869	857316999875793099	857316063907965599	857316063903771294	571	
1	1	-33.721	-5.254		1.000	50.403	C6H12N2	[M + H]+	C6H13N2+	DCRYNQTXGUTACA	InChI=1S/C6H12N2/c1-2-8-5-3-7-4-6-8/h2,7H,1,3-6H2	1-Ethenylpiperazin-1-ium	C=CN1CCNCC1	113.107	52	0.874	857316994276397240	857316064000240291	857316063996045986	589	
1	2	-63.719	-7.015		0.075	54.062	C9H6O2S	[M + H]+	C9H7O2S+	GCFLKXWKYKFMBD	InChI=1S/C9H6O2S/c10-9(11)8-4-2-1-3-7(8)5-6-12/h1-4,12H,(H,10,11)		O=C(O)c1ccccc1C#CS	179.017	53	0.891	857317006095945969	857316064092514983	857316064088320678	687	
1	1	-13.593	-0.037		1.000	87.140	C6H15NO3	[M + H]+	C6H16NO3+	GSEJCLTVZPLZKY	InChI=1S/C6H15NO3/c8-4-1-7(2-5-9)3-6-10/h8-10H,1-6H2	Daltogen	C(CO)N(CCO)CCO	150.113	54	0.894	857316987703922824	857316064239315627	857316064235121322	698	
1	1	-34.571	-7.062		0.321	45.113	C6H8O5S3	[M + H]+	C6H9O5S3+	RUALIEOZXPNXKZ	InChI=1S/C6H8O5S3/c1-2-12-14(9,10)6-4-3-5-11-13(7)8/h2,13H,1,5-6H2		C=CSS(=O)(=O)CC#CCO[SH](=O)=O	256.962	54	0.897	857317028522889471	857316064381921967	857316064377727662	1491	
1	1	-146.807	-7.094		1.000	11.932	C6H15NO3	[M + Na]+	C6H15NNaO3+	CVBJFZKPUABULP	InChI=1S/C6H15NO3/c1-6(10-9)5-7-3-2-4-8/h6-9H,2-5H2,1H3		CC(CNCCCO)OO	172.094	54	0.898	857317018783715581	857316064470002355	857316064465808050	682	
1	1	-29.272	-1.357		1.000	25.724	C5H13NO2	[M + H]+	C5H14NO2+	CRVGTESFCCXCTH	InChI=1S/C5H13NO2/c1-6(2-4-7)3-5-8/h7-8H,2-5H2,1H3	N-Methyldiethanolamine	CN(CCO)CCO	120.102	54	0.903	857316991034200222	857316064566471351	857316064566471350	715	
1	1	-64.617	-1.436		1.000	35.746	C6H15NO4	[M + H]+	C6H16NO4+	OTWJRAWXTDGSDT	InChI=1S/C6H15NO4/c8-2-1-7-6(3-9,4-10)5-11/h7-11H,1-5H2	2-((2-Hydroxyethyl)amino)-2-(hydroxymethyl)propane-1,3-diol	C(CO)NC(CO)(CO)CO	166.107	54	0.907	857316998139351236	857316064650357435	857316064650357434	750	
