spectralMatchRank	spectrumType	analogHit	querySpectrumIndex	querySpectrumScanNumber	querySpectrumMsLevel	querySpectrumCE	similarity	sharedPeaks	referenceMsLevel	referenceCE	referenceAdduct	referencePrecursorMz	referenceInstrument	referenceSmiles	referenceSplash	referenceName	referenceLinks	InChIkey2D	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
2	SPECTRUM	false	21		2	-1 eV	0.83290625	8	2	-1 eV (corrected -1 eV)	[M + Na]+	371.100	Orbitrap (LCMS)	CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	splash10-059l-9065000000-63bdda72ae157dece8bf	Campathecin	public_spectra_2506:(CCMSLIB00011427902)	VSJKWCGYPAHWDS	371.101	119	1.988	857316073038965799	857316073038965798	2893	
1	SPECTRUM	false	-1		2		0.60585576	8	2	-1 eV (corrected -1 eV)	[M - H2O + H]+	137.132	Orbitrap (LCMS)	CC(CCC=C(C)C)CC=O	splash10-001j-9000000000-6ef923697f3865ce2b61	Rhodinal	public_spectra_2506:(CCMSLIB00006124209)	NEHNMFOYXAPHSD	137.133	126	2.102	857316073349344307	857316073349344306	2944	
2	SPECTRUM	false	1		2	-1 eV	0.8227557	8	2	-1 eV (corrected -1 eV)	[M + Na]+	371.100	Orbitrap (LCMS)	CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	splash10-059l-9065000000-63bdda72ae157dece8bf	Campathecin	public_spectra_2506:(CCMSLIB00011427902)	VSJKWCGYPAHWDS	371.101	130	2.172	857316073538087995	857316073538087994	2974	
1	SPECTRUM	false	9		2	-1 eV	0.83184785	9	2	-1 eV (corrected -1 eV)	[M + Na]+	371.100	Orbitrap (LCMS)	CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	splash10-059l-9065000000-63bdda72ae157dece8bf	Campathecin	public_spectra_2506:(CCMSLIB00011427902)	VSJKWCGYPAHWDS	371.101	138	2.295	857316073739414595	857316073735220290	3042	
1	SPECTRUM	false	13		2	-1 eV	0.84533095	9	2	-1 eV (corrected -1 eV)	[M - H2O + H]+	137.132	Orbitrap (LCMS)	CC(CCC=C(C)C)CC=O	splash10-001j-9000000000-6ef923697f3865ce2b61	Rhodinal	public_spectra_2506:(CCMSLIB00006124209)	NEHNMFOYXAPHSD	137.133	141	2.347	857316073835883591	857316073831689286	3067	
2	SPECTRUM	false	2		2	-1 eV	0.82448786	7	2	-1 eV (corrected -1 eV)	[M + Na]+	371.100	Orbitrap (LCMS)	CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	splash10-059l-9065000000-63bdda72ae157dece8bf	Campathecin	public_spectra_2506:(CCMSLIB00011427902)	VSJKWCGYPAHWDS	371.101	148	2.475	857316073949129803	857316073944935498	3134	
1	SPECTRUM	false	3		2	-1 eV	0.83118296	4	2	-1 eV (corrected -1 eV)	[M - H2O + H]+	137.132	Orbitrap (LCMS)	CC(CCC=C(C)C)CC=O	splash10-001j-9000000000-3b0da84e237bfae524fd	Rhodinal	public_spectra_2506:(CCMSLIB00006124209)	NEHNMFOYXAPHSD	137.133	154	2.572	857316074045598799	857316074041404494	3183	
11	SPECTRUM	false	116		2	-1 eV	0.63275146	3	2	7 eV	[M + H]+	100.112	Orbitrap (LCMS)	C1CCC(CC1)N	splash10-001i-9200000000-784fd5e818b551146b97	bmse000451	public_spectra_2506:(MSBNK-CASMI_2016-SM826601)	PAFZNILMFXTMIY	100.112	166	2.769	857316074142067795	857316074137873490	3288	
1	SPECTRUM	false	-1		2		0.54096305	5	2	90 eV	[M + H]+	198.185	Orbitrap (LCMS)	C1CCCCCC(=O)NCCCCC1	splash10-0a4i-9000000000-e416662f79e4241365ad	Nylon 12	public_spectra_2506:(MSBNK-LCSB-LU080706)	JHWNWJKBPDFINM	198.185	234	3.895	857316075874315427	857316075870121122	3843	
1	SPECTRUM	false	0		2	-1 eV	0.55900747	6	2	90 eV	[M + H]+	198.185	Orbitrap (LCMS)	C1CCCCCC(=O)NCCCCC1	splash10-0a4i-9000000000-e416662f79e4241365ad	Nylon 12	public_spectra_2506:(MSBNK-LCSB-LU080706)	JHWNWJKBPDFINM	198.185	241	4.024	857316076201471155	857316076197276850	3963	
