spectralMatchRank	spectrumType	analogHit	querySpectrumIndex	querySpectrumScanNumber	querySpectrumMsLevel	querySpectrumCE	similarity	sharedPeaks	referenceMsLevel	referenceCE	referenceAdduct	referencePrecursorMz	referenceInstrument	referenceSmiles	referenceSplash	referenceName	referenceLinks	InChIkey2D	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	SPECTRUM	true	4		2	-1 eV	0.3874527	6	2	-1 eV (corrected -1 eV)	[M + H]+	171.029	Orbitrap (LCMS)	C1=C(C=C(C(=C1O)O)O)C(=O)O	splash10-0a59-9300000000-52c837653f48e1b095d2	gallate	public_spectra_2506:(CCMSLIB00011428735)	LNTHITQWFMADLM	130.008	48	0.801	857316060678351407	857316060665768494	196	
1	SPECTRUM	true	-1		2		0.4962623	6	2	-1 eV (corrected -1 eV)	[M + Na]+	173.043	Orbitrap (LCMS)	COC1=NC=NC2=C1NC=N2	splash10-006y-4900000000-71e69e9b0b0fc3de8b9e	Ambap1074-89-1	public_spectra_2506:(CCMSLIB00010116489)	GOILPRCCOREWQE	131.974	48	0.803	857316060896455219	857316060883872306	259	
2	SPECTRUM	true	-1		2		0.70208573	7	2	-1 eV (corrected -1 eV)	[M + H]+	173.092	Orbitrap (LCMS)	C1CC(NC1)C(=O)NCC(=O)O	splash10-00di-9000000000-88881637bd23c80251e2	Prolylglycine	public_spectra_2506:(BRUNGS_MCEBIO_07783)	RNKSNIBMTUYWSH	159.969	48	0.803	857316061231999547	857316061223610938	277	
1	SPECTRUM	true	31		2	-1 eV	0.48317817	6	2	-1 eV (corrected -1 eV)	[M - H2O + H]+	257.186	Orbitrap (LCMS)	C(CCCC(=O)NCCO)CCCC(=O)NCCO	splash10-0mea-8900000000-176d85f6d1a830e17af0	Adelmidrol	public_spectra_2506:(BRUNGS_MCEBIO_00872)	PAHZPHDAJQIETD	141.959	48	0.804	857316061374605887	857316061374605886	280	
1	SPECTRUM	true	3		2	-1 eV	0.4122611	6	2	-1 eV (corrected -1 eV)	[M - H2O + H]+	166.069	Orbitrap (LCMS)	CNCC1C2=C(CCO1)C=CS2	splash10-08fr-9200000000-f90ab9186555d73601d9	4,7-dihydro-N-methyl-5H-Thieno[2,3-c]pyran-7-methanamine	public_spectra_2506:(BRUNGS_MCEBIO_05920)	ABDDQTDRAHXHOC	143.959	48	0.804	857316061513017923	857316061513017922	290	
1	SPECTRUM	true	-1		2		0.45484352	6	2	-1 eV (corrected -1 eV)	[M + H]+	282.112	Q-ToF (LCMS)	C1CNC2CC3=C(C(=CC=C3)O)C4=C2C1=CC5=C4OCO5	splash10-004i-0910000000-c4509d2b67a00c291ea2	Obovanine	public_spectra_2506:(CCMSLIB00008851359)	JBFZNWJDRCJITD	161.970	48	0.804	857316061617875527	857316061613681222	281	
1	SPECTRUM	true	1		2	-1 eV	0.35899073	6	2	-1 eV (corrected -1 eV)	[M - H4O2 + H]+	257.084	Orbitrap (LCMS)	CC(C)(C)C(=O)C(N1C=CN=C1)OC2=CC=C(C=C2)Cl	splash10-0fc0-4900000000-6ce8f8c22f5d5eebd641	Baypival	public_spectra_2506:(BRUNGS_MCEBIO_02111)	OWEGWHBOCFMBLP	97.969	48	0.805	857316061722733131	857316061718538826	279	
1	SPECTRUM	true	26		2	-1 eV	0.58073735	13	2	-1 eV (corrected -1 eV)	[M + H]+	183.021	Orbitrap (LCMS)	C1=CC(=CC=C1C=CC(=O)O)Cl	splash10-0309-2900000000-bc5115a34823cab03874	ACMC-20aixa	public_spectra_2506:(CCMSLIB00006707285)	GXLIFJYFGMHYDY	182.985	48	0.805	857316061823396431	857316061819202126	321	
1	SPECTRUM	true	0		2	-1 eV	0.34828946	7	2	-1 eV (corrected -1 eV)	[M + Na]+	181.047	Orbitrap (LCMS)	CC(=C(CC(=O)O)C(=O)O)C	splash10-06y9-3900000000-21511b838a66b37e2cbb	4,4-Dimethylitaconic acid	public_spectra_2506:(CCMSLIB00006694666)	GYXGAEAOIFNGAE	139.963	48	0.805	857316061919865427	857316061915671122	288	
1	SPECTRUM	true	0		2	-1 eV	0.45121852	6	2	-1 eV (corrected -1 eV)	[M + H]+	171.040	Orbitrap (LCMS)	CN1C(=O)C=C(NC1=O)C(=O)O	splash10-01b9-9500000000-257f3b6a40e3617601f1	Oprea1_183622	public_spectra_2506:(CCMSLIB00006707367)	OEGWVZNGNUHUQP	157.974	48	0.807	857316062209272415	857316062209272414	287	
1	SPECTRUM	true	0		2	-1 eV	0.36227164	6	2	-1 eV (corrected -1 eV)	[M + H]+	213.091	N/A	C1=CC=C(C=C1)C(C(=O)C2=CC=CC=C2)O	splash10-0h90-9800000000-3c75ee7f1a0a9cbd7bd4	Aerozoin	public_spectra_2506	ISAOCJYIOMOJEB	98.512	49	0.810	857316062393821799	857316062393821798	211	
1	SPECTRUM	true	0		2	-1 eV	0.6018405	8	2	60 eV	[M + H]+	333.076	Orbitrap (LCMS)	C1=CC=C2C(=C1)C(=O)OC23C4=C(C=C(C=C4)O)OC5=C3C=CC(=C5)O	splash10-001r-0096000000-14b937762779b88c6b85	fluorescein	public_spectra_2506:(MSBNK-LCSB-LU078804)	GNBHRKFJIUUOQI	118.943	49	0.810	857316062477707883	857316062473513578	295	
