formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	CH6N2O4S2	[M + H]+	CH7N2O4S2+		1.000	35.802	35.802	0.000	6	0.931	5.189	5.189	5.000		174.985	54	0.905	857337240422952472	857336427584965228	857336427584965227	733	
1	C2H4N2O4S2	[M + H]+	C2H5N2O4S2+		1.000	63.645	62.055	1.591	10	0.278	5.704	5.704	4.622		184.969	55	0.909	857337227324140999	857336427694017136	857336427689822831	699	
1	C4H5F2NO3S	[M + Na]+	C4H5F2NNaO3S+		0.995	56.464	52.949	3.515	9	0.891	11.984	11.984	1.677		207.985	55	0.913	857337225977769360	857336427798874740	857336427794680435	701	
1	C5H13NO	[M + H]+	C5H14NO+		1.000	22.421	22.421	0.000	4	0.358	4.781	4.781	0.283		104.107	55	0.916	857337188946258996	857336427895343736	857336427895343735	741	
1	C5H6FNO3Si	[M + Na]+	C5H6FNNaO3Si+		0.498	14.250	11.461	2.789	3	0.179	17.116	17.116	8.694		198.001	55	0.916	857337226632080821	857336428025367164	857336428025367163	735	
1	C3H5N5O	[M + H]+	C3H6N5O+		0.499	38.069	38.069	0.000	4	0.870	-0.118	0.494	0.420		128.057	56	0.927	857337214984498469	857336428130224768	857336428126030463	763	
1	C4H4O8S	[M + Na]+	C4H4NaO8S+		0.821	23.997	23.997	0.000	5	0.503	-0.513	1.558	-0.463		234.952	56	0.931	857337217996008763	857336428239276676	857336428235082371	999	
1	C10H14FN3O	[M + H]+	C10H15FN3O+		0.987	61.597	59.710	1.888	18	0.989	0.797	7.345	-5.170		212.118	56	0.937	857337227596770769	857336428344134280	857336428339939975	843	
1	C7H15FN2O2	[M + H]+	C7H16FN2O2+		0.999	175.316	173.020	2.295	43	0.984	-10.057	10.057	-6.043		179.118	56	0.939	857337220311264622	857336428444797580	857336428440603275	867	
1	C7H15FN2O	[M + H]+	C7H16FN2O+		1.000	145.054	145.054	0.000	39	0.971	-9.560	9.560	-6.914		163.123	57	0.942	857337211478060302	857336428541266576	857336428537072271	862	
1	C6H9O2	[M + H]+	C6H10O2+		1.000	29.434	29.434	0.000	6	0.121	1.001	3.990	-11.405		114.066	57	0.945	857337207170510042	857336428637735572	857336428633541267	864	
1	C7H7AsO3	[M + Na]+	C7H7AsNaO3+		0.993	11.549	11.549	0.000	4	0.361	6.008	6.290	-7.496		236.949	57	0.948	857337244101357135	857336428742593176	857336428738398871	1101	
1	C6H15N	[M + H]+	C6H16N+		1.000	22.076	22.076	0.000	3	1.000	1.464	1.464	0.529		102.128	57	0.950	857337227319946694	857336428839062172	857336428834867867	898	
1	C11H23NO2	[M + H]+	C11H24NO2+		1.000	57.991	57.991	0.000	12	0.992	1.600	1.600	0.270		202.180	57	0.951	857337212606328084	857336428931336864	857336428927142559	1124	
1	C3HNOS	[M + Na]+	C3HNNaOS+		0.314	-0.609	-0.609	0.000	0	0.000			-7.259		121.966	57	0.953	857337225151491459	857336429145246376	857336429141052071	1050	
1	C12H23N	[M + H]+	C12H24N+		0.500	41.077	41.077	0.000	5	0.937	0.374	0.374	0.460		182.190	57	0.953	857337225747082638	857336429254298284	857336429250103979	1068	
1	C5H7FO2S	[M + Na]+	C5H7FNaO2S+		0.913	8.990	8.990	0.000	3	0.188	8.598	8.598	2.200		173.005	57	0.956	857337243430268485	857336429346572976	857336429342378671	1106	
1	C7H13FN2O2	[M + H]+	C7H14FN2O2+		0.981	155.204	155.204	0.000	43	0.894	-8.665	8.665	-6.055		177.102	57	0.956	857337250296344154	857336429451430580	857336429447236275	1118	
1	C12H27N	[M + H]+	C12H28N+		1.000	59.623	59.623	0.000	16	0.826	0.848	0.977	0.235		186.222	58	0.963	857337234878082570	857336429543705272	857336429543705271	1229	
1	C7H15N3O3S	[M + Na]+	C7H15N3NaO3S+		0.991	60.377	58.198	2.179	15	0.711	7.177	8.047	-1.446		244.072	58	0.964	857337256822681189	857336429640174268	857336429635979963	1327	
1	C9H19NO	[M + H]+	C9H20NO+		1.000	49.797	49.797	0.000	7	0.822	4.007	4.007	0.502		158.154	58	0.965	857337235062631954	857336429740837568	857336429736643263	1033	
1	C9H20O5	[M + Na]+	C9H20NaO5+		0.827	4.485	4.485	0.000	0	0.000	0.188	0.188	0.197		231.120	58	0.965	857337234940997131	857336429828917956	857336429828917955	1299	
1	C10H14F2O2	[M - H2O + H]+	C10H13F2O+		0.999	18.263	17.427	0.836	5	0.047	3.112	3.112	-96258.372		187.094	58	0.970	857337242310389285	857336429925386952	857336429921192647	1313	
1	C6H13N	[M + H]+	C6H14N+		0.500	37.943	37.943	0.000	5	0.956	7.781	7.781	0.241		100.112	58	0.973	857337243115695683	857336430026050252	857336430021855947	925	
1	C4H7ClO	[M + K]+	C4H7ClKO+		0.596	4.267	0.391	3.876	0	0.000			3.582		144.982	59	0.977	857337283783667346	857336430122519248	857336430118324943	1228	
1	C5H6NO3	[M + H]+	C5H7NO3+		0.999	37.485	33.815	3.671	9	0.088	5.254	6.644	-10.109		129.041	59	0.987	857337295674519197	857336430227376852	857336430223182547	1420	
