id,sirius_id,molecular_formula,precursor_mz,rt,score
9089,857336449709919828,C12H13NO2,204.102,8.761,1.0
9186,857336449827360348,C21H28O6,377.196,8.827,0.997
9173,857336449953189476,C10H11N2O2,209.117,8.828,1.0
9177,857336450263567992,C12H27N,186.222,8.835,1.0
9256,857336450330676860,C9H14O5,203.091,8.892,1.0
9259,857336450389397120,C10H14O6,231.086,8.894,1.0
9252,857336450448117380,C7H8O4,157.05,8.894,1.0
9258,857336450515226248,C12H20O7,294.155,8.894,0.995
9253,857336450703969936,C12H20O7,277.128,8.895,1.0
9255,857336450796244628,C14H27NO7,322.186,8.895,0.973
9231,857336450917879452,C9H20N2O,173.165,8.925,1.0
9341,857336450980794016,C9H19NOS,190.126,8.94,0.999
9475,857336451148566188,C11H21NO3,216.16,9.049,1.0
9562,857336451211480752,C10H17NO3,200.128,9.129,1.0
9667,857336451333115576,C10H18O4,185.117,9.213,1.0
9663,857336451396030140,C11H17NO4Se,302.045,9.214,1.0
9662,857336451450556096,C10H18O4,203.128,9.214,1.0
9808,857336451735768784,C14H31NO3,262.238,9.346,1.0
9811,857336451811266260,C8H16OS3,225.044,9.348,1.0
9906,857336452100673252,C19H23NO4,330.17,9.414,0.999
9960,857336452176170728,C14H31N,214.253,9.466,1.0
9971,857336452260056812,C18H22N2,267.186,9.483,0.883
10011,857336452402663156,C13H12N2O,213.102,9.505,0.963
10008,857336452637544184,C18H24N2,269.201,9.506,0.89
9987,857336452696264444,C14H29NO3,260.222,9.508,1.0
10061,857336452922756876,C21H17NO5,402.076,9.538,0.995
10198,857336453136666396,C10H17NO3,200.128,9.617,1.0
10307,857336453182803744,C11H12O3,193.086,9.724,0.999
10391,857336453400907568,C11H22N2O,199.181,9.773,1.0
10442,857336453459627828,C13H8O,181.065,9.817,0.943
10469,857336453572874044,C12H16O3,209.117,9.833,1.0
10503,857336453623205696,C10H15NO2S,214.09,9.865,0.925
10538,857336453673537348,C11H21NO,184.17,9.883,1.0
10525,857336453774200652,C8H6O,119.049,9.892,0.993
10601,857336453837115216,C10H15NO2S,214.09,9.938,0.803
10645,857336453887446868,C20H25NO4,344.186,9.977,0.965
10685,857336453941972824,C12H23NO,198.185,10.007,1.0
10722,857336453996498780,C12H9NO,184.076,10.037,0.887
10741,857336454046830432,C12H17NO,192.138,10.047,1.0
10860,857336454256545648,C12H18O2Si,223.115,10.161,0.942
10874,857336454353014648,C12H23NO3,230.175,10.172,1.0
10882,857336454415929212,C11H14N2OS2,255.062,10.176,1.0
10946,857336454466260864,C10H15NO2S,214.09,10.198,0.996
11050,857336454508203908,C12H23NO,198.185,10.288,1.0
11128,857336454550146952,C12H25NO3,232.191,10.313,1.0
11206,857336454642421648,C15H29NO3,272.222,10.383,1.0
11199,857336454680170388,C13H24N2O,225.196,10.401,1.0
11235,857336454717919128,C14H12O2,213.091,10.415,0.803
11247,857336454764056476,C18H22N2O,283.181,10.416,0.832
11375,857336455032491952,C13H21NO,225.196,10.542,1.0
11429,857336455149932472,C11H23NO2,202.18,10.585,1.0
11623,857336455321898948,C12H17N3O3S2,354.033,10.717,0.992
11629,857336455460310988,C10H15NO2S,214.09,10.719,0.997
11690,857336455535808464,C13H24N2O,225.196,10.758,1.0
11747,857336455611305940,C13H29N,200.237,10.815,1.0
11803,857336455741329372,C11H24N2O,201.196,10.852,1.0
11951,857336455917490152,C14H31N,214.253,10.968,1.0
11873,857336455972016108,C15H15NO,226.123,10.974,0.941
12136,857336456194314236,C13H29N,200.237,11.099,1.0
12180,857336456257228800,C14H31N,214.253,11.117,1.0
12203,857336456315949060,C12H24O4,233.175,11.129,1.0
12200,857336456374669320,C10H18O2,171.138,11.13,1.0
12250,857336456559218708,C16H35N,242.284,11.163,1.0
12272,857336456617938968,C12H18O2,195.138,11.175,1.0
12286,857336456752156704,C14H31NO,230.248,11.183,1.0
12273,857336456819265572,C12H20O3,213.149,11.184,1.0
12299,857336456886374440,C15H15NO,226.123,11.186,0.984
12253,857336456689242140,C19H38N2O3,343.296,11.191,1.0
12388,857336456949289004,C12H23NO,198.185,11.258,1.0
12433,857336457142227000,C14H28O5,277.201,11.282,1.0
12429,857336457200947260,C14H31N,214.253,11.287,1.0
12469,857336457263861824,C10H18O2,171.138,11.288,1.0
12557,857336457444216908,C15H20N2O3,277.155,11.307,0.979
12526,857336457502937168,C16H29NO3,284.222,11.332,1.0
12541,857336457561657428,C19H38N2O3,343.296,11.342,1.0
12592,857336457624571992,C15H33N,228.269,11.374,1.0
