id,sirius_id,annotation_type,compound_name,smiles,molecular_formula,precursor_mz,rt,score,cluster_label,cluster_membership_probability,cluster_outlier_score
4171,857336438133640176,spectral_match,Panosorb,CC=CC=CC(=O)O,,95.049,5.215,0.8246356,1,1.0,0.0
7700,857336447616961984,denovo,Oxidooxyethene,C=COO,C2H4O2,98.984,7.784,-0.816,1,1.0,0.0
12700,857336457683292252,denovo,Oxidooxyethene,C=COO,C2H4O2,98.984,11.434,-1.056,1,1.0,0.0
13136,857336459499426004,denovo,Oxidooxyethene,C=COO,C2H4O2,98.984,11.71,-0.952,1,1.0,0.0
13561,857336460980015416,denovo,Oxidooxyethene,C=COO,C2H4O2,98.984,12.031,-1.645,1,1.0,0.0
15109,857336463823753720,denovo,Oxidooxyethene,C=COO,C2H4O2,98.984,13.173,-1.152,1,1.0,0.0
15728,857336464847163972,denovo,Oxidooxyethene,C=COO,C2H4O2,98.984,13.734,-1.931,1,1.0,0.0
16511,857336466508108476,denovo,Oxidooxyethene,C=COO,C2H4O2,98.984,14.333,-1.957,1,1.0,0.0
18367,857336470618526684,denovo,Oxidooxyethene,C=COO,C2H4O2,98.984,15.686,-1.152,1,1.0,0.0
21258,857336473508402360,denovo,,C=C[SH]=O,C2H4OS,114.961,17.797,-2.482,1,1.0,0.0
22390,857336474766693668,denovo,,C=C[SH]=O,C2H4OS,114.961,18.656,-2.861,1,1.0,0.0
23021,857336475915933060,denovo,Oxidooxyethene,C=COO,C2H4O2,98.984,19.108,-0.816,1,1.0,0.0
24318,857336477300053488,denovo,,C=C[SH]=O,C2H4OS,114.961,20.21,-2.446,1,1.0,0.0
27259,857336481200756508,denovo,Oxidooxyethene,C=COO,C2H4O2,98.984,23.698,-1.931,1,1.0,0.0
12766,857336458228551808,spectral_match,Indigo J,C1=CC=C2C(=C1)C(=O)C(=C3C(=O)C4=CC=CC=C4N3)N2,,263.082,11.483,0.8020742,2,1.0,0.0
27132,857336480953292552,spectral_match,Campathecin,CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O,,371.101,23.562,0.84745747,2,1.0,0.0
16463,857336466394862260,structure_db_match,2-Phenylbenzothiazole,C1=CC=C(C=C1)C2=NC3=CC=CC=C3S2,C13H9NS,212.053,14.31,0.845,2,0.7909425233588993,0.2090574766411008
7229,857336446534831488,spectral_match,benzothiazolol,C1=CC=C2C(=C1)NC(=O)S2,,152.017,7.45,0.95281935,2,0.5510081691121163,0.4489918308878838
7477,857336447424023988,structure_db_match,Eudraflex,CCOC(=O)CC(CC(=O)OCC)(C(=O)OCC)O,C12H20O7,277.128,7.669,0.924,3,1.0,0.0
7927,857336447939923412,structure_db_match,Eudraflex,CCOC(=O)CC(CC(=O)OCC)(C(=O)OCC)O,C12H20O7,277.128,7.855,0.924,3,1.0,0.0
8327,857336448493571584,spectral_match,Eudraflex,CCOC(=O)CC(CC(=O)OCC)(C(=O)OCC)O,,277.128,8.186,0.81277573,3,1.0,0.0
9253,857336450703969936,spectral_match,Eudraflex,CCOC(=O)CC(CC(=O)OCC)(C(=O)OCC)O,,277.128,8.895,0.8274949,3,1.0,0.0
9256,857336450330676860,denovo,"Diethyl 1,3-acetonedicarboxylate",CCOC(=O)CC(=O)CC(=O)OCC,C9H14O5,203.091,8.892,-0.864,3,1.0,0.0
9258,857336450515226248,structure_db_match,Eudraflex,CCOC(=O)CC(CC(=O)OCC)(C(=O)OCC)O,C12H20O7,294.155,8.894,0.931,3,1.0,0.0
18603,857336470782104552,spectral_match,Citroflex 4,CCCCOC(=O)CC(CC(=O)OCCCC)(C(=O)OCCCC)O,,361.222,15.842,0.915008,3,1.0,0.0
20414,857336472845702276,spectral_match,Blo-trol,CCCCOC(=O)CC(CC(=O)OCCCC)(C(=O)OCCCC)OC(=O)C,,425.215,17.157,0.9634712,3,1.0,0.0
20420,857336472950559884,spectral_match,Blo-trol,CCCCOC(=O)CC(CC(=O)OCCCC)(C(=O)OCCCC)OC(=O)C,,403.233,17.158,0.9709721,3,1.0,0.0
20422,857336472896033928,spectral_match,Citroflex 4,CCCCOC(=O)CC(CC(=O)OCCCC)(C(=O)OCCCC)O,,361.222,17.157,0.90630156,3,1.0,0.0
741,857336427895343736,denovo,,CN(C)CCOC,C5H13NO,104.107,0.916,-2.28,4,1.0,0.34421126183526135
898,857336428839062172,structure_db_match,triethylamine,CCN(CC)CC,C6H15N,102.128,0.95,0.89,4,1.0,0.20135319580888686
1229,857336429543705272,spectral_match,Tributilamina,CCCCN(CCCC)CCCC,,186.222,0.963,0.8324613,4,1.0,0.009506400332105583
1670,857336430651001572,denovo,"2,5,8,11-tetraoxatridecan-13-ol",COCCOCCOCCOCCO,C9H20O5,209.138,1.02,-0.253,4,1.0,0.0
3272,857336432727182132,spectral_match,Pentaglycol,C(COCCOCCOCCOCCO)O,,239.149,4.138,0.99170727,4,1.0,0.0
3474,857336434086136676,structure_db_match,"2,5,8,11-tetraoxatridecan-13-ol",COCCOCCOCCOCCO,C9H20O5,226.165,4.433,0.953,4,1.0,0.0
