id,mz,rt,area,height,detected_rate,has_ms2,detected:fraction:POC,mean_area:fraction:POC,detected:fraction:WSOC,mean_area:fraction:WSOC,log2FC:fraction:POC_vs_WSOC,welch_p:fraction:POC_vs_WSOC,detected:day_type:weekday,mean_area:day_type:weekday,detected:day_type:weekend,mean_area:day_type:weekend,log2FC:day_type:weekday_vs_weekend,welch_p:day_type:weekday_vs_weekend
63,136.95326,0.6806,45170.0,1244000.0,0.08333333333333333,False,True,8100.5,True,10942.722222222223,-0.43388881657427353,0.1655215483237285,True,9750.541666666666,True,9063.75,0.10537429764842919,0.7405370721352994
72,184.96935,0.6717,135700.0,2020000.0,0.05555555555555555,False,False,5054.666666666667,True,6403.333333333333,-0.34120715738224516,0.1109848277428651,False,5179.583333333333,True,6827.833333333333,-0.3985917964210068,0.10197802290794829
80,234.95172,0.699,27440.0,289600.0,0.0,False,False,1345.2277777777779,False,1649.4888888888888,-0.29416858513084715,0.18855281787569855,False,1471.4416666666666,False,1549.1916666666666,-0.0742852963276001,0.7821451313539295
82,257.96768,0.7107,7867.0,87660.0,0.0,False,False,0.0,False,24.450000000000003,-inf,0.16510088342324752,False,0.0,False,36.675000000000004,-inf,0.1681285804519239
83,329.89084,0.7046,7209.0,85130.0,0.0,False,False,85.77777777777777,False,41.13333333333333,1.0602959522848685,0.2984964275417327,False,49.362500000000004,False,91.64166666666667,-0.8925882341702955,0.440201922211812
88,229.93327,0.7399,14440.0,120900.0,0.0,False,False,0.0,False,0.0,,,False,0.0,False,0.0,,
89,257.92813,0.746,35990.0,263500.0,0.0,False,False,0.0,False,13.911111111111111,-inf,0.3313327620386787,False,10.433333333333334,False,0.0,inf,0.32771580614285845
97,234.91206,0.7838,19950.0,198700.0,0.0,False,False,34.8,False,0.0,inf,0.331332762038679,False,0.0,False,52.199999999999996,-inf,0.3388006961962018
98,223.9195,0.7777,21740.0,157600.0,0.0,False,False,13.766666666666667,False,0.0,inf,0.331332762038679,False,0.0,False,20.650000000000002,-inf,0.33880069619620157
101,189.99269,0.7771,32680.0,187800.0,0.0,False,False,0.0,False,0.0,,,False,0.0,False,0.0,,
103,142.99077,0.7833,152100.0,2075000.0,0.0,False,False,8566.111111111111,False,32486.555555555555,-1.923130491811099,0.039392179120154656,False,10060.791666666666,False,41457.416666666664,-2.0428863878441006,0.0696801288563014
106,251.93917,0.7912,23980.0,254000.0,0.0,False,False,0.0,False,0.0,,,False,0.0,False,0.0,,
110,161.99778,0.7825,13740.0,106100.0,0.0,False,False,0.0,False,0.0,,,False,0.0,False,0.0,,
111,180.99229,0.7882,18690.0,224500.0,0.0,False,False,0.0,False,0.0,,,False,0.0,False,0.0,,
112,413.88893,0.7808,14930.0,153700.0,0.0,False,False,0.0,False,0.0,,,False,0.0,False,0.0,,
113,462.9251,0.7882,9687.0,153500.0,0.0,False,False,0.0,False,0.0,,,False,0.0,False,0.0,,
118,98.47068,0.8122,26660.0,233700.0,0.0,False,False,57.06666666666667,False,257.8333333333333,-2.175718589935251,0.24850688896090123,False,42.800000000000004,False,386.75,-3.175718589935251,0.18575882053580198
119,159.00623,0.7505,413300.0,3510000.0,0.0,True,False,732.2111111111112,False,1597.216666666667,-1.1252284599844664,0.0002871743869193573,False,1145.5416666666667,False,1203.0583333333334,-0.0706766623445308,0.842739807307407
120,272.94326,0.8182,102000.0,2153000.0,0.0,False,False,14520.611111111111,False,711.8055555555557,4.350475168368414,0.038687899893609,False,7048.141666666667,False,8752.341666666667,-0.3124261354448409,0.8507245399617499
121,185.99781,0.8031,25630.0,153200.0,0.0,False,False,0.0,False,0.0,,,False,0.0,False,0.0,,
123,191.978,0.7949,3998.0,58090.0,0.08333333333333333,False,True,3035.4444444444443,False,67.64444444444445,5.48779250630925,3.606419612095403e-16,True,1466.6499999999999,True,1721.3333333333333,-0.23100187125014693,0.6748874607673224
124,251.91436,0.8034,85510.0,523900.0,0.0,False,False,399.3055555555556,False,29.40555555555555,3.7633324918589497,3.0232549252627353e-05,False,216.15833333333333,False,210.75,0.03655582489956697,0.9558524433801573
126,148.95336,0.7984,13180.0,177300.0,0.3333333333333333,False,True,10553.666666666666,False,2222.0555555555557,2.247777530046571,1.6410088233573798e-18,True,6262.541666666667,True,6638.5,-0.08410899768491693,0.8422564941928299
127,121.96623,0.8076,56150.0,712100.0,0.3055555555555556,True,True,43474.444444444445,False,14125.5,1.6218656561197702,2.0740645381460916e-16,True,27079.166666666668,True,32241.583333333332,-0.2517392519358057,0.426386037887559
131,162.03413,0.7734,14920.0,128000.0,0.0,False,False,0.0,False,0.0,,,False,0.0,False,0.0,,
132,123.96451,0.8035,25900.0,345400.0,0.3888888888888889,False,True,19243.88888888889,False,6215.261111111111,1.63051346753099,1.1841858222808192e-14,True,12432.291666666666,True,13324.141666666668,-0.09995034294246706,0.7760536290992258
133,105.954,0.7992,13940.0,188300.0,0.3611111111111111,False,True,10095.777777777777,False,2235.161111111111,2.1753013298637742,6.733426305388049e-16,True,5843.833333333333,True,6808.741666666666,-0.22047316339583475,0.587751361239581
134,279.91043,0.8063,96080.0,519800.0,0.0,False,False,0.0,False,815.5055555555556,-inf,8.843737403531015e-06,False,447.1416666666667,False,328.97499999999997,0.4427540364290359,0.5171884790792278
137,189.97986,0.7978,11110.0,146700.0,0.4166666666666667,False,True,8065.388888888889,False,1628.2888888888888,2.3083874141070173,1.644158222026854e-15,True,4677.2958333333345,True,5185.925,-0.14892666139771496,0.7375204392111372
138,150.9515,0.7951,5405.0,89370.0,0.3055555555555556,False,True,4251.166666666667,False,234.4888888888889,4.180267352575696,8.79405229854394e-19,True,2095.6124999999997,True,2537.258333333333,-0.27589844363186017,0.6033962710743533
139,106.992,0.7567,2352000.0,12170000.0,0.16666666666666666,True,False,3187.1722222222224,True,11903.388888888889,-1.9010234826847054,0.0026368843230448217,True,4470.795833333334,True,13694.25,-1.6149666860695222,0.02359702351983801
