id,sirius_id,molecular_formula,precursor_mz,rt,score
7222,857316082014776867,C8H13ClF2N2O,227.074,6.233,1.0
7590,857316082123828779,C17H21NO4,304.154,6.357,0.996
7592,857316082182549039,C9H6O3,163.039,6.368,0.999
7605,857316082241269299,C16H24O4,281.175,6.38,1.0
7622,857316082299989559,C10H16O2,169.122,6.388,1.0
7613,857316082358709819,C17H21NO,256.17,6.453,0.999
7665,857316082526481991,C18H38O9,399.259,6.476,0.998
7792,857316082656505423,C7H7N3,134.071,6.505,0.952
7716,857316082593590859,C11H10O3,191.07,6.51,1.0
7946,857316082874609247,C11H10O3,191.071,6.587,0.998
7886,857316082929135203,C10H14O3,183.102,6.597,1.0
7966,857316082983661159,C8H12O2,141.091,6.606,1.0
7989,857316083289845371,C5H12O3Si2,177.04,6.61,1.0
8012,857316083407285891,C11H20N2O2,213.16,6.627,1.0
8226,857316083478589063,C11H20N2O2,213.16,6.721,1.0
8020,857316083533115019,C20H42O10,443.285,6.721,0.96
8087,857316083600223887,C23H45N5O6,488.343,6.722,1.0
8573,857316084040625839,C22H46O11,487.311,6.942,0.991
8601,857316084233563839,C8H14O,127.112,7.0,1.0
8802,857316084325838535,C8H19N,130.159,7.08,1.0
8880,857316084430696143,C10H23NO,174.185,7.117,1.0
8901,857316084485222099,C24H50O12,531.338,7.129,0.995
8913,857316084602662619,C30H46N2O6,548.364,7.14,0.997
9002,857316084707520227,C12H26O5,251.185,7.184,1.0
9151,857316084799794923,C10H8O2,161.06,7.269,0.991
9249,857316084913041139,C12H26O5,251.185,7.286,1.0
9211,857316084963372791,C26H54O13,575.364,7.304,0.954
9373,857316085240196875,C12H25N,184.206,7.399,1.0
9442,857316085303111439,C12H27NO3,234.206,7.434,1.0
9481,857316085437329175,C28H58O14,619.389,7.463,0.978
9492,857316085517020955,C37H61NO9,664.448,7.473,0.968
9493,857316085588324127,C35H54O9,636.416,7.475,0.999
9526,857316085651238691,C9H20O3,177.149,7.493,1.0
9632,857316085764484907,C12H27N,186.222,7.571,1.0
9646,857316085823205167,C8H12,109.101,7.579,1.0
9683,857316085886119731,C15H29N5O2,312.238,7.599,0.933
9689,857316086003560251,C12H26O5,251.185,7.602,1.0
9686,857316086108417859,C12H26O5,268.212,7.605,0.996
9975,857316086452350811,C41H69NO11,752.499,7.783,0.952
10785,857316086775312243,C12H24S,201.168,8.376,1.0
10833,857316086834032503,C11H18O2,183.138,8.378,1.0
10839,857316086888558459,C11H21NO2,200.165,8.378,1.0
10880,857316086934695807,C8H10O2,139.075,8.442,1.0
11015,857316086980833155,C12H6O3,199.039,8.511,0.992
11016,857316087022776199,C13H16N2S,233.111,8.513,0.994
11083,857316087064719243,C17H26N2O,275.212,8.56,0.875
11111,857316087110856591,C11H14O3,195.102,8.579,1.0
11212,857316087156993939,C8H20N4O2,227.147,8.661,1.0
11247,857316087203131287,C12H25NO3,232.191,8.679,1.0
11220,857316087245074331,C9H16O,141.127,8.681,1.0
11296,857316087291211679,C12H27N,186.222,8.723,1.0
11308,857316087387680675,C16H34O6,323.243,8.736,0.959
11398,857316087597395895,C12H16O3,209.117,8.826,0.996
11403,857316087639338939,C21H28O6,377.196,8.827,0.948
11453,857316087685476287,C12H27N,186.222,8.879,1.0
11537,857316087773556679,C16H34O6,323.243,8.953,0.98
11511,857316087870025679,C10H10O2,163.075,8.964,1.0
11620,857316087962300375,C14H28N2O2,257.222,9.044,1.0
11647,857316088012632027,C13H25NO3,244.191,9.068,1.0
11733,857316088180404199,C12H27NO,202.217,9.171,1.0
11812,857316088394313719,C15H22O3,233.154,9.233,1.0
11942,857316088545308675,C14H31NO3,262.238,9.359,1.0
12012,857316088595640327,C20H37NO4,356.28,9.419,0.991
12067,857316088700497935,C14H31N,214.253,9.469,1.0
12087,857316088755023891,C14H29NO3,260.222,9.512,1.0
12180,857316088805355543,C9H14,123.117,9.544,1.0
12217,857316088855687195,C12H27N,186.222,9.597,1.0
12250,857316088910213151,C10H17NO3,200.128,9.613,1.0
12500,857316088964739107,C10H8N4O4,249.062,9.881,0.997
12638,857316089069596715,C12H9NO,184.076,10.029,0.902
12647,857316089124122671,C11H24N2O2,217.191,10.04,1.0
12699,857316089233174583,C14H8O3,225.055,10.074,1.0
12734,857316089526775887,C10H18O,155.143,10.105,1.0
12752,857316089585496147,C17H29N,248.237,10.116,0.969
12809,857316089635827799,C11H14N2OS2,255.062,10.175,1.0
12761,857316089686159451,C13H25NO2,228.196,10.175,1.0
12788,857316089732296799,C14H28S,229.199,10.177,0.997
12811,857316089820377191,C13H18O3,223.133,10.182,1.0
12869,857316089858125931,C15H32N2O2,273.254,10.232,0.999
12929,857316089904263279,C14H25NO2,240.196,10.272,1.0
13083,857316089950400627,C12H25NO3,232.191,10.334,1.0
13339,857316090084618367,C10H16O,153.127,10.572,1.0
13423,857316090172698759,C11H23NO2,202.18,10.589,1.0
13462,857316090264973455,C7H10,95.086,10.607,1.0
13460,857316090512437407,C13H28OSi,229.199,10.611,0.863
13474,857316090617295011,C13H25NO2,228.196,10.612,1.0
13660,857316090793455791,C6H13NSi,128.089,10.754,0.91
13693,857316090843787443,C7H13FO,133.104,10.791,1.0
13727,857316090889924791,C16H24O4,281.175,10.825,1.0
13728,857316090940256443,C4H9NSi,100.058,10.828,1.0
13621,857316090982199487,C14H31NO,230.248,10.832,1.0
13792,857316091028336835,C12H27N,186.222,10.88,1.0
13848,857316091082862791,C12H25NO2,216.196,10.881,1.0
13857,857316091124805835,C20H43NO4,362.326,10.936,1.0
13882,857316091170943183,C16H35NO3,290.269,10.95,1.0
13913,857316091217080531,C14H29NO3,260.222,10.974,1.0
13916,857316091263217879,C14H25NO2,240.196,10.985,1.0
14072,857316091351298271,C13H29N,200.237,11.103,1.0
14130,857316091443572967,C16H33NO3,288.253,11.108,1.0
14125,857316091489710315,C11H10N4O4,263.077,11.127,1.0
14268,857316091540041967,C14H10O,195.081,11.268,0.999
14308,857316091749757183,C11H20O,169.159,11.298,1.0
14318,857316091795894531,C7H8,93.07,11.299,0.983
14303,857316091846226183,C14H31N,214.253,11.299,1.0
14419,857316092068524315,C15H14OS,243.084,11.387,0.989
14591,857316092156604707,C14H31NO,230.248,11.493,1.0
14717,857316092248879403,C19H34O3S,343.23,11.612,1.0
14775,857316092290822447,C7H8,93.07,11.639,0.85
